category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	16/2714	78/8542	0.990551074251491	1	0.857267823297857	857/81873/57180/9844/858/1793/3611/10459/5295/10163/653857/25759/3059/2549/6714/5829	16
Organismal Systems	Digestive system	hsa04976	Bile secretion	19/2714	90/8542	0.991174109583321	1	0.857267823297857	358/111/482/477/115/2778/196883/9429/6513/108/5243/8671/6580/107/109/2052/10257/112/5566	19
Metabolism	Carbohydrate metabolism	hsa00520	Amino sugar and nucleotide sugar metabolism	6/2714	38/8542	0.992509102233929	1	0.857267823297857	2821/4351/7358/6675/2582/132789	6
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease - COVID-19	59/2714	238/8542	0.993116250363781	1	0.857267823297857	3572/1675/7450/730/100529239/10747/185/51121/2353/5648/2162/3725/727/721/3570/720/5595/5295/3716/6403/718/3654/5335/6122/5579/7099/729/59272/103/8829/5600/51135/3661/51065/6156/200916/1839/64135/1536/7132/6169/1636/715/23521/6171/6134/5610/6173/7297/114548/6203/716/4615/51284/6133/6144/6227/6170/719	59
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	7/2714	43/8542	0.99354261560458	1	0.857267823297857	8613/376497/948/8611/39/19/2806	7
Organismal Systems	Digestive system	hsa04973	Carbohydrate digestion and absorption	9/2714	52/8542	0.994128559967658	1	0.857267823297857	2542/482/477/280/10000/5295/5579/5330/8972	9
Genetic Information Processing	Translation	hsa03008	Ribosome biogenesis in eukaryotes	39/2714	168/8542	0.994645096564059	1	0.857267823297857	1736/6949/51602/10557/54913/9790/10248/1459/5901/84916/3692/10813/83732/7514/54433/92856/10940/84128/55226/10528/10799/9724/10885/29107/55505/29102/1460/23560/23160/10482/29889/10775/55127/10171/55651/2091/55916/51119/81691	39
Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	6/2714	40/8542	0.995531770579086	1	0.857267823297857	2821/2595/280/5167/5837/8972	6
Human Diseases	Endocrine and metabolic disease	hsa04950	Maturity onset diabetes of the young	3/2714	26/8542	0.996013351257443	1	0.857267823297857	3087/2494/5080	3
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	15/2714	79/8542	0.996373206984369	1	0.857267823297857	2949/125/2946/1571/126/1577/2947/873/119391/221/27306/22977/246181/2052/2950	15
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	6/2714	41/8542	0.996564675700352	1	0.857267823297857	57030/774/2893/2892/2906/116443	6
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	11/2714	63/8542	0.996707718506028	1	0.857267823297857	220074/79154/1571/51170/1577/6715/1583/51144/7923/9420/1589	11
Organismal Systems	Immune system	hsa04650	Natural killer cell mediated cytotoxicity	28/2714	134/8542	0.998239759354571	1	0.857267823297857	10451/4773/5595/5881/80329/5295/5335/6655/5579/6452/7535/637/25759/80328/3459/3133/7409/3932/10870/2534/4772/369/3683/79465/7462/3384/27040/4893	28
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	72/2714	298/8542	0.998653622758742	1	0.857267823297857	3572/7048/3953/60401/2690/2826/90865/3977/8794/6358/8742/94/3590/6387/3570/2662/3603/3952/1524/4804/3625/91/9173/3563/3554/3589/92/1436/9547/285613/2057/768211/85480/1435/3566/920/7133/7043/130399/8764/23529/2920/51554/53832/3587/650/6364/652/151449/3459/654/57007/8809/943/7132/6374/3575/1439/10663/7040/8740/939/2829/1489/11009/5008/53833/3597/970/729230/7066/284340	72
Metabolism	Carbohydrate metabolism	hsa00053	Ascorbate and aldarate metabolism	3/2714	30/8542	0.99887559098881	1	0.857267823297857	9365/7358/224	3
Metabolism	Metabolism of cofactors and vitamins	hsa00860	Porphyrin metabolism	6/2714	46/8542	0.999113617357536	1	0.857267823297857	3145/3052/1352/1355/2235/210	6
Organismal Systems	Immune system	hsa04622	RIG-I-like receptor signaling pathway	11/2714	72/8542	0.999596875522236	1	0.857267823297857	54941/26007/7186/80143/4214/103/5600/3661/64135/8737/7706	11
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	10/2714	68/8542	0.999641663123885	1	0.857267823297857	316/5959/216/8228/125/8854/126/54884/1577/9249	10
Organismal Systems	Sensory system	hsa04742	Taste transduction	14/2714	86/8542	0.999673052608559	1	0.857267823297857	5136/775/5153/6328/8645/196883/3710/6335/6337/54429/5330/1131/112/5566	14
Genetic Information Processing	Translation	hsa00970	Aminoacyl-tRNA biosynthesis	8/2714	66/8542	0.999949299717675	1	0.857267823297857	51091/10056/79731/51067/57505/2193/55157/55278	8
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	17/2714	109/8542	0.999967372498219	1	0.857267823297857	2353/3725/5595/10000/1513/5295/3716/3654/7099/5600/51135/3661/929/8737/7297/4615/51284	17
Human Diseases	Substance dependence	hsa05034	Alcoholism	36/2714	188/8542	0.999969404350223	1	0.857267823297857	2354/4128/111/3066/2791/5595/91860/2778/54331/627/64764/55970/51564/6655/4915/2775/5500/805/25759/5501/51806/2906/55869/2771/5569/116443/10681/59345/1813/814/2787/369/810/5566/8841/4893	36
Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	68/2714	312/8542	0.999973727063411	1	0.857267823297857	1869/2146/1871/898/993/7148/7422/596/995/1789/9493/113130/7078/1870/578/27086/9134/3066/3925/4855/1029/23405/3690/672/6768/8434/9252/9839/63923/5595/4854/5295/1945/5159/23414/25/54541/5154/6935/8660/595/5335/5243/5728/6655/894/3667/5579/4363/8091/1944/8626/4325/1026/27165/10253/7431/599/1786/2744/27250/994/1946/1788/1027/472/1942/4893	68
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	37/2714	193/8542	0.999974701949446	1	0.857267823297857	7450/3066/292/10105/1184/3690/727/3674/7416/5595/10000/5295/51564/6403/718/7419/5335/7417/5579/7099/5600/55869/1182/5330/4689/1536/2358/3684/6714/64581/1183/6404/1511/3683/51284/837/8841	37
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	21/2714	141/8542	0.999998897863188	1	0.857267823297857	730/6632/6741/727/721/720/6634/6628/718/3109/3115/729/3111/3108/715/3117/3123/1511/3113/716/3119	21
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	71/2714	370/8542	0.999999989767038	1	0.857267823297857	5733/117/1910/5745/3953/2690/1901/185/150/7434/165829/7068/6869/187/554/2899/1138/727/10800/2894/5734/624/154/3952/10857/2696/27346/1909/10203/718/79924/2916/3357/1136/6915/7067/2893/2151/3274/9170/2901/552/2892/1908/1907/2149/10161/2906/23566/2908/1902/6752/116443/1131/2925/2912/130574/1133/2358/1813/5724/51738/3363/1511/2922/147/286530/134/5027/1128/719	71
Organismal Systems	Sensory system	hsa04740	Olfactory transduction	19/2714	453/8542	1	1	0.857267823297857	5138/157/5136/5592/408/5153/91860/156/805/51806/6547/2774/346528/6546/109/810/5566/123041/57101	19
